"Location: Palermo, IT"
"Date: 2026-07-17"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-16T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-17T04:10:00.000Z,2.654,54.106,1.292,1.164,22.836,1.443
2026-07-17T04:20:00.000Z,21.544,175.488,11.693,9.524,14.432,3.218
2026-07-17T04:30:00.000Z,48.864,313.754,21.440,15.659,10.282,5.014
