"Location: Palermo, IT"
"Date: 2026-07-13"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-12T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T04:00:00.000Z,0.028,9.286,0.000,0.001,35.421,0.175
2026-07-13T04:10:00.000Z,6.332,82.014,3.583,3.139,19.861,1.921
2026-07-13T04:20:00.000Z,28.255,212.153,14.601,11.559,13.073,3.690
2026-07-13T04:30:00.000Z,56.546,347.474,23.358,16.595,9.549,5.481
2026-07-13T04:40:00.000Z,87.554,465.988,28.408,18.306,7.452,7.292
2026-07-13T04:50:00.000Z,119.976,564.537,30.478,18.162,6.082,9.122
2026-07-13T05:00:00.000Z,153.225,645.557,30.389,17.157,5.124,10.969
2026-07-13T05:10:00.000Z,186.973,712.377,28.755,15.826,4.421,12.832
2026-07-13T05:20:00.000Z,221.015,767.942,26.007,40.104,3.884,14.711
2026-07-13T05:30:00.000Z,255.198,814.598,22.445,74.771,3.463,16.602
2026-07-13T05:40:00.000Z,289.403,854.155,18.282,111.515,3.124,18.507
2026-07-13T05:50:00.000Z,323.529,887.998,13.676,149.674,2.847,20.422
2026-07-13T06:00:00.000Z,357.486,917.195,8.741,188.759,2.615,22.348
2026-07-13T06:10:00.000Z,391.192,942.572,3.569,228.394,2.421,24.283
