"Location: Palermo, IT"
"Date: 2026-07-11"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-10T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-10T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T04:00:00.000Z,0.098,13.938,0.000,0.002,32.519,0.401
2026-07-11T04:10:00.000Z,8.486,96.582,4.873,4.218,18.692,2.144
2026-07-11T04:20:00.000Z,31.527,229.314,15.888,12.409,12.516,3.911
2026-07-11T04:30:00.000Z,60.191,362.796,24.164,16.953,9.239,5.699
2026-07-11T04:40:00.000Z,91.335,478.578,28.804,18.369,7.260,7.508
2026-07-11T04:50:00.000Z,123.801,574.655,30.585,18.086,5.954,9.335
2026-07-11T05:00:00.000Z,157.047,653.685,30.298,17.028,5.033,11.180
2026-07-11T05:10:00.000Z,190.770,718.952,28.531,15.684,4.353,13.042
2026-07-11T05:20:00.000Z,224.771,773.311,25.692,40.933,3.833,14.918
2026-07-11T05:30:00.000Z,258.904,819.025,22.070,75.685,3.423,16.808
2026-07-11T05:40:00.000Z,293.052,857.838,17.867,112.454,3.092,18.711
2026-07-11T05:50:00.000Z,327.117,891.089,13.236,150.599,2.820,20.625
2026-07-11T06:00:00.000Z,361.008,919.809,8.287,189.643,2.594,22.549
2026-07-11T06:10:00.000Z,394.646,944.797,3.108,229.217,2.402,24.482
2026-07-11T06:20:00.000Z,430.185,966.682,0.000,270.610,2.239,26.424
2026-07-11T06:30:00.000Z,468.534,985.961,0.000,314.488,2.098,28.373
2026-07-11T06:40:00.000Z,506.469,1003.032,0.000,358.482,1.975,30.327
2026-07-11T06:50:00.000Z,543.883,1018.217,0.000,402.362,1.868,32.286
2026-07-11T07:00:00.000Z,580.679,1031.779,0.000,445.921,1.773,34.249
2026-07-11T07:10:00.000Z,616.764,1043.933,0.000,488.977,1.689,36.214
