"Location: Palermo, IT"
"Date: 2026-07-12"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-11T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-11T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-12T04:00:00.000Z,0.058,11.475,0.000,0.001,33.908,0.289
2026-07-12T04:10:00.000Z,7.392,89.283,4.223,3.678,19.254,2.034
2026-07-12T04:20:00.000Z,29.902,220.844,15.259,11.997,12.785,3.802
2026-07-12T04:30:00.000Z,58.387,355.265,23.773,16.782,9.389,5.591
2026-07-12T04:40:00.000Z,89.465,472.395,28.614,18.341,7.354,7.401
2026-07-12T04:50:00.000Z,121.910,569.685,30.536,18.125,6.016,9.230
2026-07-12T05:00:00.000Z,155.158,649.690,30.346,17.092,5.078,11.076
2026-07-12T05:10:00.000Z,188.893,715.718,28.644,15.755,4.386,12.938
2026-07-12T05:20:00.000Z,222.914,770.668,25.849,40.505,3.858,14.815
2026-07-12T05:30:00.000Z,257.071,816.844,22.257,75.215,3.442,16.706
2026-07-12T05:40:00.000Z,291.248,856.022,18.074,111.971,3.108,18.610
2026-07-12T05:50:00.000Z,325.343,889.564,13.455,150.123,2.833,20.524
2026-07-12T06:00:00.000Z,359.267,918.518,8.513,189.186,2.604,22.449
2026-07-12T06:10:00.000Z,392.937,943.697,3.337,228.790,2.411,24.384
2026-07-12T06:20:00.000Z,428.281,965.739,0.000,270.059,2.246,26.326
2026-07-12T06:30:00.000Z,466.668,985.149,0.000,313.980,2.104,28.275
2026-07-12T06:40:00.000Z,504.643,1002.330,0.000,358.023,1.981,30.230
2026-07-12T06:50:00.000Z,542.099,1017.608,0.000,401.955,1.873,32.189
2026-07-12T07:00:00.000Z,578.939,1031.248,0.000,445.571,1.777,34.152
2026-07-12T07:10:00.000Z,615.068,1043.470,0.000,488.685,1.693,36.118
2026-07-12T07:20:00.000Z,650.400,1054.453,0.000,531.133,1.619,38.084
2026-07-12T07:30:00.000Z,684.852,1064.348,0.000,572.764,1.552,40.049
2026-07-12T07:40:00.000Z,718.347,1073.283,0.000,613.439,1.492,42.013
2026-07-12T07:50:00.000Z,750.809,1081.364,0.000,653.030,1.439,43.973
2026-07-12T08:00:00.000Z,782.167,1088.682,0.000,691.419,1.390,45.927
2026-07-12T08:10:00.000Z,812.355,1095.314,0.000,728.496,1.347,47.873
2026-07-12T08:20:00.000Z,841.307,1101.327,0.000,764.159,1.308,49.810
2026-07-12T08:30:00.000Z,868.964,1106.778,0.000,798.313,1.273,51.733
2026-07-12T08:40:00.000Z,895.267,1111.716,0.000,830.868,1.241,53.639
2026-07-12T08:50:00.000Z,920.163,1116.184,0.000,861.742,1.212,55.526
2026-07-12T09:00:00.000Z,943.599,1120.220,0.000,890.858,1.186,57.387
2026-07-12T09:10:00.000Z,965.529,1123.854,0.000,918.144,1.163,59.218
2026-07-12T09:20:00.000Z,985.907,1127.114,0.000,943.535,1.143,61.012
2026-07-12T09:30:00.000Z,1004.693,1130.026,0.000,966.970,1.124,62.759
2026-07-12T09:40:00.000Z,1021.848,1132.610,0.000,988.395,1.108,64.450
2026-07-12T09:50:00.000Z,1037.338,1134.883,0.000,1007.759,1.093,66.071
2026-07-12T10:00:00.000Z,1051.132,1136.862,0.000,1025.017,1.081,67.607
2026-07-12T10:10:00.000Z,1063.202,1138.559,0.000,1040.131,1.070,69.037
2026-07-12T10:20:00.000Z,1073.524,1139.986,0.000,1053.065,1.061,70.339
2026-07-12T10:30:00.000Z,1082.077,1141.152,0.000,1063.791,1.054,71.484
2026-07-12T10:40:00.000Z,1088.845,1142.063,0.000,1072.283,1.048,72.440
2026-07-12T10:50:00.000Z,1093.814,1142.727,0.000,1078.524,1.044,73.176
2026-07-12T11:00:00.000Z,1096.974,1143.146,0.000,1082.498,1.042,73.660
2026-07-12T11:10:00.000Z,1098.319,1143.324,0.000,1084.197,1.041,73.871
2026-07-12T11:20:00.000Z,1097.846,1143.262,0.000,1083.618,1.041,73.796
2026-07-12T11:30:00.000Z,1095.555,1142.958,0.000,1080.760,1.043,73.441
2026-07-12T11:40:00.000Z,1091.452,1142.412,0.000,1075.632,1.046,72.822
2026-07-12T11:50:00.000Z,1085.544,1141.620,0.000,1068.244,1.051,71.967
2026-07-12T12:00:00.000Z,1077.844,1140.577,0.000,1058.612,1.058,70.909
2026-07-12T12:10:00.000Z,1068.365,1139.276,0.000,1046.759,1.066,69.678
