"Location: Palermo, IT"
"Date: 2026-07-16"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-15T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-16T04:10:00.000Z,3.465,60.817,1.803,1.611,22.000,1.566
2026-07-16T04:20:00.000Z,23.231,184.902,12.460,10.075,14.057,3.340
2026-07-16T04:30:00.000Z,50.827,322.562,21.959,15.924,10.083,5.135
2026-07-16T04:40:00.000Z,81.585,445.414,27.691,18.153,7.778,6.950
2026-07-16T04:50:00.000Z,113.930,548.013,30.248,18.258,6.297,8.783
2026-07-16T05:00:00.000Z,147.178,632.323,30.489,17.353,5.275,10.634
2026-07-16T05:10:00.000Z,180.969,701.711,29.077,16.047,4.531,12.501
2026-07-16T05:20:00.000Z,215.076,759.267,26.477,39.065,3.968,14.383
2026-07-16T05:30:00.000Z,249.341,807.474,23.014,73.605,3.528,16.278
2026-07-16T05:40:00.000Z,283.638,848.250,18.916,110.317,3.176,18.185
2026-07-16T05:50:00.000Z,317.864,883.063,14.349,148.507,2.889,20.103
2026-07-16T06:00:00.000Z,351.925,913.039,9.436,187.665,2.651,22.031
2026-07-16T06:10:00.000Z,385.739,939.050,4.272,227.401,2.450,23.968
2026-07-16T06:20:00.000Z,420.296,961.775,0.000,268.175,2.279,25.913
2026-07-16T06:30:00.000Z,458.843,981.750,0.000,312.291,2.132,27.864
2026-07-16T06:40:00.000Z,496.989,999.404,0.000,356.551,2.005,29.821
2026-07-16T06:50:00.000Z,534.623,1015.081,0.000,400.717,1.894,31.781
2026-07-16T07:00:00.000Z,571.645,1029.060,0.000,444.578,1.796,33.745
2026-07-16T07:10:00.000Z,607.961,1041.571,0.000,487.946,1.710,35.711
2026-07-16T07:20:00.000Z,643.483,1052.802,0.000,530.654,1.633,37.677
2026-07-16T07:30:00.000Z,678.127,1062.913,0.000,572.547,1.565,39.642
2026-07-16T07:40:00.000Z,711.813,1072.034,0.000,613.487,1.504,41.604
2026-07-16T07:50:00.000Z,744.467,1080.278,0.000,653.343,1.449,43.562
2026-07-16T08:00:00.000Z,776.016,1087.738,0.000,691.996,1.400,45.514
2026-07-16T08:10:00.000Z,806.393,1094.496,0.000,729.335,1.356,47.457
2026-07-16T08:20:00.000Z,835.533,1100.620,0.000,765.256,1.316,49.389
2026-07-16T08:30:00.000Z,863.374,1106.169,0.000,799.664,1.280,51.307
2026-07-16T08:40:00.000Z,889.858,1111.194,0.000,832.468,1.248,53.208
2026-07-16T08:50:00.000Z,914.931,1115.739,0.000,863.586,1.219,55.087
2026-07-16T09:00:00.000Z,938.541,1119.843,0.000,892.939,1.192,56.940
2026-07-16T09:10:00.000Z,960.639,1123.539,0.000,920.456,1.169,58.761
2026-07-16T09:20:00.000Z,981.181,1126.855,0.000,946.070,1.148,60.543
2026-07-16T09:30:00.000Z,1000.125,1129.815,0.000,969.720,1.129,62.278
2026-07-16T09:40:00.000Z,1017.432,1132.443,0.000,991.351,1.112,63.954
2026-07-16T09:50:00.000Z,1033.069,1134.755,0.000,1010.913,1.098,65.559
2026-07-16T10:00:00.000Z,1047.002,1136.769,0.000,1028.360,1.085,67.078
2026-07-16T10:10:00.000Z,1059.205,1138.497,0.000,1043.652,1.074,68.490
2026-07-16T10:20:00.000Z,1069.654,1139.951,0.000,1056.754,1.065,69.773
2026-07-16T10:30:00.000Z,1078.326,1141.141,0.000,1067.638,1.058,70.901
2026-07-16T10:40:00.000Z,1085.205,1142.073,0.000,1076.277,1.052,71.843
2026-07-16T10:50:00.000Z,1090.277,1142.755,0.000,1082.653,1.048,72.569
2026-07-16T11:00:00.000Z,1093.532,1143.189,0.000,1086.752,1.045,73.051
2026-07-16T11:10:00.000Z,1094.963,1143.380,0.000,1088.563,1.044,73.267
2026-07-16T11:20:00.000Z,1094.568,1143.327,0.000,1088.084,1.044,73.207
2026-07-16T11:30:00.000Z,1092.347,1143.031,0.000,1085.315,1.046,72.874
2026-07-16T11:40:00.000Z,1088.305,1142.490,0.000,1080.263,1.049,72.283
