"Location: Palermo, IT"
"Date: 2026-07-14"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-13T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-13T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T04:00:00.000Z,0.007,7.377,0.000,0.000,37.066,0.058
2026-07-14T04:10:00.000Z,5.317,74.817,2.960,2.609,20.518,1.805
2026-07-14T04:20:00.000Z,26.592,203.254,13.915,11.092,13.380,3.576
2026-07-14T04:30:00.000Z,54.671,339.425,22.917,16.391,9.717,5.368
2026-07-14T04:40:00.000Z,85.602,459.357,28.186,18.263,7.556,7.180
2026-07-14T04:50:00.000Z,118.000,559.210,30.412,18.197,6.151,9.011
2026-07-14T05:00:00.000Z,151.249,641.286,30.428,17.223,5.172,10.860
2026-07-14T05:10:00.000Z,185.012,708.930,28.865,15.899,4.456,12.724
2026-07-14T05:20:00.000Z,219.075,765.134,26.164,39.730,3.911,14.603
2026-07-14T05:30:00.000Z,253.284,812.288,22.634,74.354,3.484,16.496
2026-07-14T05:40:00.000Z,287.519,852.237,18.492,111.087,3.141,18.401
2026-07-14T05:50:00.000Z,321.678,886.393,13.898,149.255,2.860,20.318
2026-07-14T06:00:00.000Z,355.669,915.841,8.971,188.363,2.627,22.244
2026-07-14T06:10:00.000Z,389.409,941.423,3.802,228.030,2.430,24.180
