"Location: Palermo, IT"
"Date: 2026-07-15"
"Model: clear-sky"
"TZ: GMT+2"
"Source: DQYDJ, https://dqydj.com/solar-irradiance-calculator/"

time,ghi_wm2,dni_wm2,dhi_wm2,gti_wm2,air_mass,altitude_deg
2026-07-14T22:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T22:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T22:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T22:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T22:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T22:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-14T23:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T00:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T01:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T02:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:10:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:20:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:30:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:40:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T03:50:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T04:00:00.000Z,0.000,0.000,0.000,0.000,,0.000
2026-07-15T04:10:00.000Z,4.357,67.736,2.363,2.097,21.229,1.687
2026-07-15T04:20:00.000Z,24.915,194.164,13.201,10.598,13.707,3.459
2026-07-15T04:30:00.000Z,52.764,331.120,22.452,16.167,9.895,5.253
2026-07-15T04:40:00.000Z,83.612,452.500,27.947,18.213,7.664,7.066
2026-07-15T04:50:00.000Z,115.984,553.703,30.335,18.229,6.222,8.898
2026-07-15T05:00:00.000Z,149.233,636.875,30.461,17.288,5.223,10.748
2026-07-15T05:10:00.000Z,183.010,705.375,28.972,15.972,4.493,12.614
2026-07-15T05:20:00.000Z,217.095,762.242,26.321,39.383,3.939,14.494
2026-07-15T05:30:00.000Z,251.331,809.914,22.823,73.965,3.506,16.388
2026-07-15T05:40:00.000Z,285.597,850.269,18.703,110.687,3.158,18.294
2026-07-15T05:50:00.000Z,319.789,884.748,14.123,148.866,2.875,20.211
2026-07-15T06:00:00.000Z,353.815,914.456,9.203,187.998,2.639,22.139
2026-07-15T06:10:00.000Z,387.592,940.249,4.036,227.699,2.440,24.075
2026-07-15T06:20:00.000Z,422.346,962.795,0.000,268.597,2.271,26.019
