hour_from_monday,outlet_temp_C,flow_exergy_to_factory_kW,useful_exergy_primary_kW,useful_exergy_fallback_kW,soc,target_soc
0.5,180.33848985110555,516.962752917172,0.0,516.962752917172,0.5246433742270439,0.6
1.0,174.71556063442785,442.2499690896196,0.0,442.2499690896196,0.4606733503304112,0.6
1.5,169.77999772084414,378.8509000318282,0.0,378.8509000318282,0.40480505570431846,0.6
2.0,165.4517883899513,324.9347250762032,0.0,324.9347250762032,0.356046285537154,0.6
2.5,161.65953841252377,278.9885427396518,0.0,278.9885427396518,0.3135206480245955,0.6
3.0,158.3396695136521,239.7590615373501,0.0,0.0,0.27645503259951976,0.6
3.5,155.43566711290615,206.20522182610512,0.0,0.0,0.2441682561708638,0.6
4.0,152.8973806524269,177.45974583636763,0.0,0.0,0.2160608111226354,0.6
4.5,150.6803771383208,152.79794882567023,0.0,0.0,0.19160563609894943,0.6
5.0,148.74534724544472,131.6124359375326,0.0,0.0,0.1703398302445063,0.6
5.5,147.05756241194408,113.39255816590594,0.0,0.0,0.15185723296202128,0.6
6.0,145.58638070392098,97.70771001640533,0.0,0.0,0.13580179389627334,0.6
6.5,144.30479880225795,84.19372532249363,0.0,0.0,0.12186166137032126,0.6
7.0,143.1890472041798,72.54177085657268,0.0,0.0,0.10976392157957583,0.6
7.5,142.21822560223583,62.48925440171368,0.0,0.0,0.09926992525891605,0.6
8.0,141.37397537139307,53.812359007679774,0.0,0.0,0.09017114309744474,0.6
0.5,195.5632832573001,732.4908867859981,732.4908867859981,732.4908867859981,0.70151966769288,0.8
1.0,188.13231274491102,624.8849314173392,624.8849314173392,624.8849314173392,0.6155890997466236,0.8
1.5,181.58983163919262,533.9488897557928,0.0,533.9488897557928,0.5403743852805194,0.8
2.0,175.8358781518457,456.9249145554387,0.0,456.9249145554387,0.47459142907191404,0.8
2.5,170.78062871738894,391.5393878123676,0.0,391.5393878123676,0.41710110944823303,0.8
3.0,166.34357678624983,335.91501757173455,0.0,335.91501757173455,0.3668944809331955,0.8
3.5,162.45273543302443,288.4987380744434,0.0,288.4987380744434,0.32307919487807274,0.8
4.0,159.04387407942673,248.0027793896155,0.0,0.0,0.2848670977760785,0.8
4.5,156.0597961978043,213.35662284489547,0.0,0.0,0.25156295309348814,0.8
5.0,153.44966218496214,183.66789683374367,0.0,0.0,0.22255422339310166,0.8
5.5,151.16835954172353,158.19057800267385,0.0,0.0,0.19730184418955285,0.8
6.0,149.17592093940684,136.299138198052,0.0,0.0,0.17533191848664542,0.8
6.5,147.43698960020203,117.46751606687484,0.0,0.0,0.1562282606015196,0.8
7.0,145.92033058239298,101.25199516053051,0.0,0.0,0.13962571911762878,0.8
7.5,144.5983859766271,87.27724073641228,0.0,0.0,0.1252042111825211,0.8
8.0,143.44687163156863,75.22488888413233,0.0,0.0,0.11268340352600004,0.8
0.5,197.2919754199709,758.1810241956575,758.1810241956575,758.1810241956575,0.722054364896346,0.95
1.0,189.66209382930066,646.662093006209,646.662093006209,646.662093006209,0.6336274002059081,0.95
1.5,182.9416972041251,552.446417249343,552.446417249343,552.446417249343,0.5562043944239471,0.95
2.0,177.02895422091595,472.66836518100274,0.0,472.66836518100274,0.4884706847424357,0.95
2.5,171.83226936741602,404.9651682642842,0.0,404.9651682642842,0.42925933503694014,0.95
3.0,167.26947280567805,347.3859410122816,0.0,347.3859410122816,0.3775361874758141,0.95
3.5,163.26702885371614,298.31693153600486,0.0,298.31693153600486,0.3323861178937411,0.95
4.0,159.75927462928746,256.4203418783541,0.0,0.0,0.29300046185499534,0.95
4.5,156.68769673027677,220.58439501168365,0.0,0.0,0.25866556269628027,0.95
5.0,154.0002509441793,189.8826588941005,0.0,0.0,0.2287523823652999,0.95
5.5,151.6507277567544,163.5409484015987,0.0,0.0,0.20270710941030595,0.95
6.0,149.598164738823,140.91040401267279,0.0,0.0,0.18004269509904544,0.95
6.5,147.8063056249948,121.4455886869882,0.0,0.0,0.1603312476057067,0.95
7.0,146.24310497241336,104.68665190939225,0.0,0.0,0.14319721490358164,0.95
7.5,144.8802766307616,90.24478481532933,0.0,0.0,0.12831128896328908,0.95
8.0,143.69288380922166,77.79033607637943,0.0,0.0,0.11538496670544715,0.95
