time,dni_wm2
2026-07-11 00:00:00+00:00,0.0
2026-07-11 00:10:00+00:00,0.0
2026-07-11 00:20:00+00:00,0.0
2026-07-11 00:30:00+00:00,0.0
2026-07-11 00:40:00+00:00,0.0
2026-07-11 00:50:00+00:00,0.0
2026-07-11 01:00:00+00:00,0.0
2026-07-11 01:10:00+00:00,0.0
2026-07-11 01:20:00+00:00,0.0
2026-07-11 01:30:00+00:00,0.0
2026-07-11 01:40:00+00:00,0.0
2026-07-11 01:50:00+00:00,0.0
2026-07-11 02:00:00+00:00,0.0
2026-07-11 02:10:00+00:00,0.0
2026-07-11 02:20:00+00:00,0.0
2026-07-11 02:30:00+00:00,0.0
2026-07-11 02:40:00+00:00,0.0
2026-07-11 02:50:00+00:00,0.0
2026-07-11 03:00:00+00:00,0.0
2026-07-11 03:10:00+00:00,0.0
2026-07-11 03:20:00+00:00,0.0
2026-07-11 03:30:00+00:00,0.0
2026-07-11 03:40:00+00:00,0.0
2026-07-11 03:50:00+00:00,0.0
2026-07-11 04:00:00+00:00,13.938
2026-07-11 04:10:00+00:00,96.582
2026-07-11 04:20:00+00:00,229.314
2026-07-11 04:30:00+00:00,362.796
2026-07-11 04:40:00+00:00,478.578
2026-07-11 04:50:00+00:00,574.655
2026-07-11 05:00:00+00:00,653.685
2026-07-11 05:10:00+00:00,718.952
2026-07-11 05:20:00+00:00,773.311
2026-07-11 05:30:00+00:00,819.025
2026-07-11 05:40:00+00:00,857.838
2026-07-11 05:50:00+00:00,891.089
2026-07-11 06:00:00+00:00,919.809
2026-07-11 06:10:00+00:00,944.797
2026-07-11 06:20:00+00:00,966.682
2026-07-11 06:30:00+00:00,985.961
2026-07-11 06:40:00+00:00,1003.032
2026-07-11 06:50:00+00:00,1018.217
2026-07-11 07:00:00+00:00,1031.779
2026-07-11 07:10:00+00:00,1043.933
2026-07-11 07:20:00+00:00,1054.858
2026-07-11 07:30:00+00:00,1064.703
2026-07-11 07:40:00+00:00,1073.594
2026-07-11 07:50:00+00:00,1081.637
2026-07-11 08:00:00+00:00,1088.921
2026-07-11 08:10:00+00:00,1095.524
2026-07-11 08:20:00+00:00,1101.511
2026-07-11 08:30:00+00:00,1106.939
2026-07-11 08:40:00+00:00,1111.856
2026-07-11 08:50:00+00:00,1116.306
2026-07-11 09:00:00+00:00,1120.325
2026-07-11 09:10:00+00:00,1123.944
2026-07-11 09:20:00+00:00,1127.192
2026-07-11 09:30:00+00:00,1130.091
2026-07-11 09:40:00+00:00,1132.664
2026-07-11 09:50:00+00:00,1134.928
2026-07-11 10:00:00+00:00,1136.899
2026-07-11 10:10:00+00:00,1138.588
2026-07-11 10:20:00+00:00,1140.008
2026-07-11 10:30:00+00:00,1141.168
2026-07-11 10:40:00+00:00,1142.074
2026-07-11 10:50:00+00:00,1142.733
2026-07-11 11:00:00+00:00,1143.148
2026-07-11 11:10:00+00:00,1143.322
2026-07-11 11:20:00+00:00,1143.257
2026-07-11 11:30:00+00:00,1142.951
2026-07-11 11:40:00+00:00,1142.403
2026-07-11 11:50:00+00:00,1141.609
2026-07-11 12:00:00+00:00,1140.565
2026-07-11 12:10:00+00:00,1139.264
2026-07-11 12:20:00+00:00,1137.698
2026-07-11 12:30:00+00:00,1135.856
2026-07-11 12:40:00+00:00,1133.726
2026-07-11 12:50:00+00:00,1131.295
2026-07-11 13:00:00+00:00,1128.545
2026-07-11 13:10:00+00:00,1125.457
2026-07-11 13:20:00+00:00,1122.008
2026-07-11 13:30:00+00:00,1118.172
2026-07-11 13:40:00+00:00,1113.92
2026-07-11 13:50:00+00:00,1109.217
2026-07-11 14:00:00+00:00,1104.024
2026-07-11 14:10:00+00:00,1098.293
2026-07-11 14:20:00+00:00,1091.973
2026-07-11 14:30:00+00:00,1085.002
2026-07-11 14:40:00+00:00,1077.307
2026-07-11 14:50:00+00:00,1068.806
2026-07-11 15:00:00+00:00,1059.399
2026-07-11 15:10:00+00:00,1048.969
2026-07-11 15:20:00+00:00,1037.379
2026-07-11 15:30:00+00:00,1024.464
2026-07-11 15:40:00+00:00,1010.025
2026-07-11 15:50:00+00:00,993.821
2026-07-11 16:00:00+00:00,975.557
2026-07-11 16:10:00+00:00,954.872
2026-07-11 16:20:00+00:00,931.313
2026-07-11 16:30:00+00:00,904.314
2026-07-11 16:40:00+00:00,873.153
2026-07-11 16:50:00+00:00,836.909
2026-07-11 17:00:00+00:00,794.384
2026-07-11 17:10:00+00:00,744.021
2026-07-11 17:20:00+00:00,683.791
2026-07-11 17:30:00+00:00,611.089
2026-07-11 17:40:00+00:00,522.751
2026-07-11 17:50:00+00:00,415.586
2026-07-11 18:00:00+00:00,288.714
2026-07-11 18:10:00+00:00,151.323
2026-07-11 18:20:00+00:00,39.586
2026-07-11 18:30:00+00:00,0.0
2026-07-11 18:40:00+00:00,0.0
2026-07-11 18:50:00+00:00,0.0
2026-07-11 19:00:00+00:00,0.0
2026-07-11 19:10:00+00:00,0.0
2026-07-11 19:20:00+00:00,0.0
2026-07-11 19:30:00+00:00,0.0
2026-07-11 19:40:00+00:00,0.0
2026-07-11 19:50:00+00:00,0.0
2026-07-11 20:00:00+00:00,0.0
2026-07-11 20:10:00+00:00,0.0
2026-07-11 20:20:00+00:00,0.0
2026-07-11 20:30:00+00:00,0.0
2026-07-11 20:40:00+00:00,0.0
2026-07-11 20:50:00+00:00,0.0
2026-07-11 21:00:00+00:00,0.0
2026-07-11 21:10:00+00:00,0.0
2026-07-11 21:20:00+00:00,0.0
2026-07-11 21:30:00+00:00,0.0
2026-07-11 21:40:00+00:00,0.0
2026-07-11 21:50:00+00:00,0.0
